SKU_ID,C1,C2,C3,C4,trend
J2251551,1.518753079021449,0.9055384629059985,1.4363699457038177,2.0355785525743277,236.49308859270602
RB868164,1.3772066793113549,1.6946297666222108,1.5010501128895117,1.251448090856404,-76.02886743903407
C2240020,1.6624919553853643,0.6312172109162576,0.6573466681211089,1.1296878592133752,12.24134461358064
RB850160,1.1261648060920892,0.6805896932627095,1.045032533461039,1.1482295001686964,-898.864200889424
MZ702709,0.8437260785896175,1.0880981648374999,0.9588873529185142,1.5368467018801293,-10.822584605719042
AB736837,0.8577954625357779,1.790717328570004,0.8697600837368563,0.4822019024290522,45.068625270290006
2R014490,0.6738398369681516,0.33973506386245084,2.5673578659931358,1.1751806938566818,-32.601629042671895
C2240054,1.3060717736576952,0.48717473722950044,1.1423044857094382,1.5334795143504907,1.5918054740762428
C2122003,1.2171160710502846,0.8662901294374824,1.19086605149135,1.1048844534921025,11.809687461101037
RB994757,1.6411860515783858,0.6740218064342929,5.134713258514584e-12,2.186671714922055,-10.249994874943749
3DK01410,0.9856984878292399,0.6453323787711805,1.3534262925567981,1.1471888133505284,92.45815494167442
MP573024,0.9215025129499637,0.9950077449561183,0.9569386313800322,0.950693979577753,2.3789236776454117
RB038033,1.1560702030212329,1.342170776881864,0.79499189485337,0.7788565494349357,-42.79149670201338
I0162910,1.4236165123078237,1.2632834457475248,1.1116171268699244,1.449912074985051,-1.4016436746018508
GS112439,1.2474654786377688,1.486241482428985,1.1889637332483587,1.6791145971502717,-1.2642299821884238
DS141499,1.3176737775900955,0.8051078280756095,0.9068270428359498,1.235874832060918,-0.6572165592191711
R628024,1.1542056305902983,0.7867703902645384,0.8343321372035805,0.8640671688053574,1.0861963210444514
C2254001,1.093657279741118,0.9489857136857125,1.6904230993453362,1.5117463381829572,-154.3434099660452
BI000138,1.370949125456141,0.9385272823660384,1.0540958657230945,0.6364654500938892,1.2762724277400956
PH000014,1.0195624035678053,1.1325101481837951,0.9746779651651978,0.873256910438933,-322.3898060710459
MZ890052,1.0579579482146824,0.6612765934479267,1.3954804000921586,1.8192676155602805,-106.6579309063984
DS701442,1.3987064008540195,1.0821674201536293,1.1364334235515305,1.173234596192357,0.5452265477991438
SLE6216,5.016172092500268,0.43553163420858726,1.3979376066303117,0.6582242378798739,-0.19814410017781633
3AK01710,0.965595579674583,0.8148840460221195,1.0476204525057318,1.6672011262348096,-0.20378422144782335
BI286843,2.2143180577220507,1.2465962537080266,2.287207119714791,0.9762401883690897,-16.13316814196379
DS095624,0.8024681364093698,1.017628950278169,0.8107469860816962,0.8384348601211812,5.1149309904628115
WT432317,2.025685791025934,1.0458537265518386,0.9428306207633722,0.5846409360366123,11.69252105273643
JC000145,0.8480674975953348,0.8880698852022583,0.8305758751276596,0.805023135622592,2.131692295650718
PH000016,1.3697088833026598,0.7396002624462082,0.8978849702864401,1.045095585520557,-4.188599823751204
TAR66498,0.7993080271256366,0.6979041547815642,1.308477032674701,2.141993212811948,-22.192060989547787
BI000078,4.196928181549922,4.070612125805861,2.044724608367164,3.1469753802139695,-119.17076757810995
DS626782,0.7851156072985688,0.8133788877153709,0.97986307946016,1.3030786203732492,-1.5141514163132905
DS626829,1.067456350752742,0.7618530292395934,0.8098208115429792,1.223469084656575,1.9007632639804364
MZM27032,1.1897572993274648,0.9728967836529023,1.233788684627412,1.0706892129082286,12.141771401021504
DS095228,1.169143136630853,1.2166487698934436,1.2633623862082257,1.0083631823411079,11.398207779431877
DS500203,0.9467104032877905,1.244185240199901,1.1065012356483572,0.8946327167578083,1.6852140901571941
TAR09113,1.0437969394554274,1.303613026923884,1.1119291728289888,0.640797655816991,24.740007050291396
DS141529,1.3361215769029913,1.1558848938222614,1.2677146441221212,1.0794301110632214,-0.3642575125558338
KV144124,1.856883975593594,2.0634338847861415,0.6057847257238763,0.9373610703046563,-21.24124496493283
BY092267,1.1085526043874077,0.8748947722744965,2.238149219001405,0.7545449777589939,-39.86637323297855
BY040111,1.2954113694859368,0.9638418035859326,1.3896900622101476,0.48622757308318704,180.33020276887495
BY092618,0.931677270968457,1.210774701507321,0.8346627312405468,1.0229653398162595,835.9479316033818
J2251702,0.9634396115208977,0.9964133777983241,1.108903210705756,0.9482536243236396,103.91389752138767
DS141475,0.8765987394019923,0.892441309646607,0.7761276701118586,1.5113370367331722,0.5416325368060377
MP001748,0.9761551056561412,1.0952664468753779,1.0980599561591728,1.2353672937662192,-2.6808324468615616
KC015680,1.3016616553395304,0.9428524514568325,0.891110328164617,1.9067973568376873,52.067452848368674
WT254979,2.085433550089767,0.750859157449427,1.0404503126682942,0.2679469169499351,0.2929757218562653
MZ702259,1.0892302246631083,1.0337084574256903,1.0611723833777595,1.3370431096089033,0.44998581497627266
T3M15380,1.0605365060865979,0.9720945548403428,0.7723016063726256,1.103430219823186,-0.12280012617679374
TAR08994,2.3268639905237656,1.806391956115055,2.1446480469975153,1.1708741120451462,-0.09249330110642591
C2242073,3.408866994895794,0.5911330047930897,1.773395815091118e-11,1.773395815089518e-11,-8.334956067214646e-12
